timestamp,Nose,Nose,Nose,Neck,Neck,Neck,RShoulder,RShoulder,RShoulder,RElbow,RElbow,RElbow,RWrist,RWrist,RWrist,LShoulder,LShoulder,LShoulder,LElbow,LElbow,LElbow,LWrist,LWrist,LWrist,MidHip,MidHip,MidHip,RHip,RHip,RHip,RKnee,RKnee,RKnee,RAnkle,RAnkle,RAnkle,LHip,LHip,LHip,LKnee,LKnee,LKnee,LAnkle,LAnkle,LAnkle,REye,REye,REye,LEye,LEye,LEye,REar,REar,REar,LEar,LEar,LEar,LBigToe,LBigToe,LBigToe,LSmallToe,LSmallToe,LSmallToe,LHeel,LHeel,LHeel,RBigToe,RBigToe,RBigToe,RSmallToe,RSmallToe,RSmallToe,RHeel,RHeel,RHeel
-,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence,x,y,confidence
0.0,480.7430114746094,75.42504119873047,0.8996582627296448,486.5381774902344,194.32333374023438,0.7880020141601562,394.0882263183594,197.28367614746094,0.6531325578689575,372.0795593261719,333.85296630859375,0.8074632883071899,366.1485290527344,463.0784606933594,0.756840169429779,579.0863647460938,192.86534118652344,0.660753607749939,599.6781005859375,323.5892028808594,0.6233006715774536,608.5185546875,455.7501220703125,0.7285481095314026,486.6048889160156,461.6578063964844,0.4708450734615326,429.37347412109375,463.0970458984375,0.48983269929885864,0.0,0.0,0.0,0.0,0.0,0.0,543.8736572265625,463.1078796386719,0.4207085072994232,0.0,0.0,0.0,0.0,0.0,0.0,464.51788330078125,65.14441680908203,0.9607104659080505,498.3125305175781,65.06565856933594,0.9368515610694885,441.1481628417969,88.635986328125,0.9211854934692383,517.46875,85.67715454101562,0.8119701147079468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,480.72857666015625,75.44081115722656,0.8969584703445435,486.53826904296875,194.31118774414062,0.7905282378196716,394.0828552246094,197.30377197265625,0.6529197096824646,372.082763671875,333.83758544921875,0.7935423254966736,366.1591796875,463.0643615722656,0.7564067840576172,577.6813354492188,192.8545379638672,0.6635957956314087,599.665283203125,323.5623474121094,0.6300410628318787,608.5209350585938,454.2966613769531,0.7201679348945618,486.62872314453125,461.6199645996094,0.4698319733142853,429.3761901855469,461.61700439453125,0.4911891520023346,0.0,0.0,0.0,0.0,0.0,0.0,545.2941284179688,463.125244140625,0.43614742159843445,0.0,0.0,0.0,0.0,0.0,0.0,464.52264404296875,65.15016174316406,0.9613701105117798,498.3106994628906,65.0872802734375,0.9363653063774109,441.1483154296875,88.65806579589844,0.9164779782295227,517.447265625,87.08419799804688,0.8387746810913086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,480.7092590332031,75.45957946777344,0.8992859721183777,486.5566101074219,194.33901977539062,0.7930570244789124,394.1086730957031,197.3046417236328,0.6372997760772705,372.080322265625,333.8961486816406,0.8009247779846191,366.15985107421875,461.62646484375,0.7524331212043762,577.675537109375,192.89889526367188,0.662164568901062,598.2465209960938,323.5784606933594,0.6363759636878967,608.4984741210938,454.29754638671875,0.7340179681777954,486.5662841796875,460.1763610839844,0.46522513031959534,429.3667297363281,461.6321716308594,0.48907387256622314,0.0,0.0,0.0,0.0,0.0,0.0,543.8606567382812,460.17022705078125,0.42356395721435547,0.0,0.0,0.0,0.0,0.0,0.0,464.5240783691406,65.1614761352539,0.9528725743293762,498.3032531738281,65.09008026123047,0.927280068397522,441.15216064453125,88.62574768066406,0.9186055064201355,517.424560546875,87.08430480957031,0.8409210443496704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.00000000000001,480.7334899902344,75.4256820678711,0.8947175741195679,486.5481872558594,194.33802795410156,0.7845748066902161,394.0951843261719,197.29690551757812,0.6448659896850586,372.09271240234375,333.83770751953125,0.8040470480918884,366.1587829589844,461.64990234375,0.7488311529159546,579.092529296875,192.91783142089844,0.6734002828598022,599.6820068359375,323.57452392578125,0.593844473361969,608.5040893554688,454.3179626464844,0.7270347476005554,486.6192626953125,461.64483642578125,0.47070199251174927,430.77734375,463.1103210449219,0.4966413676738739,0.0,0.0,0.0,0.0,0.0,0.0,543.8585815429688,461.65362548828125,0.43637341260910034,0.0,0.0,0.0,0.0,0.0,0.0,464.5218200683594,65.12604522705078,0.9574546217918396,498.3275146484375,65.06919860839844,0.9412798285484314,442.52520751953125,88.60276794433594,0.9109920263290405,518.89306640625,85.69380187988281,0.8248366713523865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0,480.73114013671875,75.4242935180664,0.8956378698348999,486.5516052246094,194.31472778320312,0.782665491104126,394.12188720703125,197.30450439453125,0.6332096457481384,372.0907897949219,333.8791198730469,0.8112431764602661,366.20123291015625,463.04522705078125,0.7576256394386292,579.09716796875,192.8876495361328,0.6620331406593323,599.66357421875,322.13360595703125,0.5901833772659302,608.522705078125,454.33599853515625,0.7175111770629883,486.6229553222656,461.6337890625,0.4653221070766449,430.8026428222656,463.10247802734375,0.49564364552497864,0.0,0.0,0.0,0.0,0.0,0.0,543.8544311523438,460.1846618652344,0.42308473587036133,0.0,0.0,0.0,0.0,0.0,0.0,464.5205078125,65.13575744628906,0.9568098187446594,498.31463623046875,65.06559753417969,0.9392681121826172,442.5220947265625,88.60997772216797,0.9139280915260315,518.9088745117188,85.68466186523438,0.8296651840209961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,480.7309875488281,75.44557189941406,0.9004446268081665,486.5563049316406,194.31588745117188,0.788816511631012,394.1263732910156,197.31195068359375,0.6372551918029785,372.1129455566406,333.85888671875,0.7966905832290649,366.1800537109375,463.04913330078125,0.7517077326774597,577.6790771484375,192.85647583007812,0.6621265411376953,599.6666259765625,323.6087341308594,0.5557968616485596,608.4901733398438,454.32647705078125,0.7251229882240295,486.6044921875,461.6204528808594,0.4677528440952301,429.3825988769531,461.6488342285156,0.4945502281188965,0.0,0.0,0.0,0.0,0.0,0.0,543.8551025390625,461.622802734375,0.43342339992523193,0.0,0.0,0.0,0.0,0.0,0.0,464.5264892578125,65.15910339355469,0.9545391798019409,498.3083801269531,65.0767822265625,0.9380659461021423,441.1701965332031,88.6197280883789,0.91222083568573,518.8951416015625,85.68749237060547,0.8291829824447632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.00000000000003,480.7439880371094,75.4510726928711,0.8967937231063843,486.5572814941406,194.3226318359375,0.7947584986686707,394.123779296875,197.29493713378906,0.6378306746482849,373.5039367675781,333.8460998535156,0.7894811630249023,366.19989013671875,463.0679016113281,0.7675188183784485,577.6768798828125,192.86599731445312,0.6610684990882874,599.6682739257812,323.57818603515625,0.5849288105964661,608.487548828125,454.3366394042969,0.7260617017745972,486.6183166503906,460.15240478515625,0.4728970527648926,430.7769470214844,460.1853332519531,0.49184954166412354,0.0,0.0,0.0,0.0,0.0,0.0,543.8735961914062,460.1739501953125,0.4340379536151886,0.0,0.0,0.0,0.0,0.0,0.0,464.5309753417969,65.14675903320312,0.956555187702179,498.3257141113281,65.08534240722656,0.9378713965415955,441.16839599609375,88.59786987304688,0.9115382432937622,518.907470703125,85.6720199584961,0.8277707099914551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0,480.7551574707031,75.43627166748047,0.8984081745147705,486.56866455078125,194.32022094726562,0.7914407253265381,394.1231994628906,197.29928588867188,0.629988968372345,372.0965881347656,333.849853515625,0.7969249486923218,366.1842346191406,463.0700988769531,0.7720145583152771,579.0892333984375,192.87742614746094,0.6651417016983032,599.669189453125,323.56072998046875,0.6039299368858337,608.4801635742188,454.31414794921875,0.734196662902832,486.60577392578125,460.1880187988281,0.46885281801223755,430.7867126464844,461.637939453125,0.4896802604198456,0.0,0.0,0.0,0.0,0.0,0.0,543.8607788085938,461.65179443359375,0.4321320652961731,0.0,0.0,0.0,0.0,0.0,0.0,464.52899169921875,65.15554809570312,0.9547662734985352,498.3223571777344,65.09097290039062,0.9371232390403748,441.1583557128906,88.6176986694336,0.9132622480392456,518.9085083007812,85.69562530517578,0.835895299911499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320.0,480.7518005371094,75.45317840576172,0.8989142179489136,486.5482177734375,194.33633422851562,0.7960485816001892,394.11090087890625,197.2848358154297,0.6398694515228271,372.09271240234375,333.8315124511719,0.7979276776313782,366.1618957519531,463.0447998046875,0.7584009766578674,577.6680908203125,192.88369750976562,0.6641409993171692,598.2223510742188,322.12725830078125,0.5877146124839783,607.071044921875,454.2945861816406,0.7398732900619507,486.63616943359375,460.1766052246094,0.4861412048339844,430.80975341796875,461.6184997558594,0.49429336190223694,0.0,0.0,0.0,0.0,0.0,0.0,543.8380737304688,461.6346740722656,0.4512001574039459,0.0,0.0,0.0,0.0,0.0,0.0,464.5277404785156,65.16238403320312,0.9552674293518066,498.314697265625,65.09879302978516,0.9340912103652954,441.1427917480469,88.6359634399414,0.9223229885101318,518.8922119140625,87.0816650390625,0.8399679660797119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
